boundary_precision,boundary_recall,boundary_f_score,reference_to_estimated,estimated_to_reference,Precision@0.5,Recall@0.5,F-measure@0.5,Precision@3.0,Recall@3.0,F-measure@3.0,Ref-to-est deviation,Est-to-ref deviation,Pairwise Precision,Pairwise Recall,Pairwise F-measure,Rand Index,Adjusted Rand Index,Mutual Information,Adjusted Mutual Information,Normalized Mutual Information,NCE Over,NCE Under,NCE F-measure,V Precision,V Recall,V-measure
0.4,0.16666666666666666,0.23529411764705882,15.84151,0.09287999999999999,0.6,0.25,0.35294117647058826,1.0,0.4166666666666667,0.5882352941176471,15.84151,0.09287999999999999,0.5831937671022869,0.998996634389675,0.7364582795886472,0.603130575887071,0.1187339464234919,0.09362623990381704,0.09968284377420324,0.2834231929549563,0.9653300788526933,0.48189771385533553,0.6428709570930049,0.7957517533713301,0.10094694226491885,0.17916543582744188
0.2,0.17647058823529413,0.18750000000000003,3.5900199999999813,4.017050000000012,0.3125,0.29411764705882354,0.30303030303030304,0.4375,0.4117647058823529,0.42424242424242425,3.5900199999999813,3.8035349999999966,0.24962992706016726,0.9727413550244064,0.397302124259739,0.2683411284640771,0.0045087130487514145,0.027903147259560078,0.01830842716302193,0.0777583352135478,0.9144765838497366,0.1912476936080557,0.31633842375593835,0.3200509203000902,0.01889186473675264,0.03567775425297971
0.18181818181818182,0.15384615384615385,0.16666666666666669,8.768799999999999,4.002669999999966,0.25,0.23076923076923078,0.24000000000000002,0.4166666666666667,0.38461538461538464,0.4,8.768799999999999,3.301109999999987,0.19875264344838736,0.9776829213689173,0.33034884508373524,0.2179026189812086,0.00355911926676161,0.023742812724543615,0.01284358621558291,0.06416381167627822,0.9224022391530504,0.16209968932358487,0.27574154083453956,0.30624237581418534,0.013443582776170748,0.025756493947891448
0.3333333333333333,0.16666666666666666,0.2222222222222222,4.852065000000001,0.19366000000000058,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.5,0.6666666666666666,4.852065000000001,0.19366000000000058,0.30853856929226775,0.9894146004348778,0.4703907234484154,0.36223929747530187,0.060281270473852344,0.14109039347570193,0.10046135567275814,0.2853065449355065,0.9485191471397248,0.22810021141476033,0.3677611054424966,0.7981390513297404,0.1019870214938361,0.18086316359595206
0.2222222222222222,0.15384615384615385,0.18181818181818185,6.453700000000005,0.6732200000000148,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.6666666666666666,0.46153846153846156,0.5454545454545455,6.453700000000005,0.6732200000000148,0.32014406405314466,0.99831446227018,0.4848153245221288,0.355041841198488,0.04535368574639018,0.10405374949932895,0.07425376350783551,0.25232250168421166,0.9723412294984995,0.28783762930615564,0.44418519231620496,0.8444183842295173,0.07539703782535623,0.138433523356126
0.1,0.16666666666666666,0.125,1.591415000000012,5.727870000000001,0.2727272727272727,0.5,0.3529411764705882,0.2727272727272727,0.5,0.3529411764705882,1.56475,3.9760100000000023,0.5858576371693898,0.9915431853627155,0.7365320715321074,0.5947208952535818,0.06488525341312254,0.02802557295158553,0.0360605710008135,0.10964923336236031,0.9172984350275917,0.4680889336322549,0.6198659753769221,0.3283608211816563,0.03661506976894169,0.06588355381852179
0.0625,0.0625,0.0625,2.55934000000002,3.098040000000026,0.23529411764705882,0.25,0.24242424242424243,0.5294117647058824,0.5625,0.5454545454545455,2.55934000000002,2.8286600000000135,0.24197580845935235,0.9967493920267704,0.3894152470174885,0.25624607884615075,0.010507056194558703,0.02854346839799845,0.01614735499705636,0.09108241471427521,0.9602356263686833,0.21635379993687598,0.3531403936748931,0.5087415282820216,0.01630691777452964,0.031600917334359414
0.2,0.1,0.13333333333333333,28.52051,2.760735000000011,0.2727272727272727,0.15,0.19354838709677416,0.45454545454545453,0.25,0.3225806451612903,28.52051,1.9736900000000333,0.2275597330803361,0.9795061538512636,0.3693189598581887,0.27170662271318,0.024741387329862582,0.08120525524901706,0.04836849628627073,0.16600890324091092,0.9102965195033855,0.18413048815479127,0.3063033739644639,0.5663521639891663,0.04866045847010747,0.08962078158672354
0.23076923076923078,0.15,0.18181818181818185,7.115385000000003,4.156370000000001,0.2857142857142857,0.2,0.23529411764705882,0.42857142857142855,0.3,0.3529411764705882,7.115385000000003,3.8341949999999754,0.23862741511619337,0.9966075483862274,0.3850569165924131,0.25921471575778626,0.01527217356901007,0.04652517529792822,0.028015064399384212,0.13372561492678572,0.9594015728050008,0.24276273694461958,0.387479398205763,0.623111752775288,0.028698768732735247,0.054870363387735446
0.14285714285714285,0.09090909090909091,0.1111111111111111,2.0415600000000005,1.12037,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.7142857142857143,0.45454545454545453,0.5555555555555556,2.0415600000000005,1.12037,0.2849244758280139,0.9683367678257762,0.44029582402688555,0.3359790638626025,0.0402901773659434,0.08088716371334932,0.05518324263100264,0.1601101014824898,0.8584806316247899,0.24928647914738844,0.38637654429872764,0.451931781440412,0.05672370399582782,0.10079610003516407
